"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"512720","0","CYCA  Connecting Youth Children and Adults","CYCA, Unit 2, Dragon 24, North Dock, LLANELLI","Dyfed","","01554776178","support@cycaonline.org","http://www.cycaonline.org","31/03/2025","574152","547917","Registered","Other","Makes Grants To Organisations, Provides Other Finance, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies","Provide child care nursery, after school club and holiday Clubs in 3 settings. We provide a range of services that address personal development.We work with Looked after Children mentoring them and giving training to move into their own home. Our Training Centre provides opportunities for our learners to gain accredited qualifications around essential  skills  resiliency and emotional wellbeing.","THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE-TIME OCCUPATIONS FOR CHILDREN AND THEIR FAMILIES RESIDENT IN  CARMARTHENSHIRE, BEING FACILITIES (A) OF WHICH SUCH CHILDREN HAVE BEEN BY REASON OF THEIR YOUTH OR SOCIAL AND ECONOMIC CIRCUMSTANCES AND (B) WHICH WILL IMPROVE THE CONDITIONS OF LIFE FOR SUCH CHILDREN AND THEIR FAMILIES BY PROMOTING THEIR PHYSICAL, MENTAL AND SPIRITUAL WELL-BEING."
"526063","0","JEWISH HIGH SCHOOL FOR GIRLS","468B BURY NEW ROAD, SALFORD","M7 4NU","Bury South","01617921439","michaelbrandeis@hotmail.com","","31/08/2024","973703","1002640","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training, Religious Activities","Children/young People, Other Charities Or Voluntary Bodies","Providing support for education, particularly the support of Jewish religious education, mostly for children/youth from Greater Manchester and for the Beis Yaakov High School for Girls, Salford.","THE ADVANCEMENT OF EDUCATION AT THE SCHOOL CONDUCTED ACCORDING TO THE LAWS, RULES AND REQUIREMENTS OF THE ""SHULCHAM ARUCH"" AS INTERPRETED BY THE RABBINICAL AUTHORITY SUPPORTERS OF THE JEWISH HIGH SCHOOL FOR GIRLS - CONSTITUTION AMENDED ON 9TH JUNE 1966."
"526602","0","LANCASTER ROYAL GRAMMAR SCHOOL CHARITY","LANCASTER ROYAL GRAMMAR SCHOOL, EAST ROAD, LANCASTER","LA1 3EF","Lancaster and Wyre","01524 580600","rthomas@lrgs.org.uk","www.lrgs.org.uk","31/08/2024","927958","174315","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","Education/training, Arts/culture/heritage/science, Amateur Sport","Children/young People","TO ASSIST THE GOVENORS OF THE LANCASTER ROYAL GRAMMAR SCHOOL IN PROMOTING THE EDUCATION OF THE PUPILS THEREIN.","(1) THE TRUSTEES SHALL APPLY THE INCOME OF THE SCHOOL CHARITY IN ASSISTING THE GOVERNORS OF THE SCHOOL IN PROMOTING THE EDUCATION OF THE PUPILS THEREAT IN ONE OR MORE OF FOLLOWING WAYS AS THE TRUSTEES SHALL THINK FIT:(A) IN ASSISTING THE SAID GOVERNORS TO DISCHARGE THEIR OBLIGATIONS UNDER THE SAID EDUCATION ACTS WITH RESPECT TO THE MAINTENANCE OF THE SCHOOL;(B) IN PROVIDING EQUIPMENT AND OTHER ITEMS. SERVICES AND FACILITIES FOR AND THEREBY ADVANCE EDUCATION AT THE SCHOOL.(2) IN APPLYING THE INCOME OF THE SCHOOL CHARITY THE TRUSTEES SHALL NOT RELIEVE RATES, TAXES OR OTHER PUBLIC FUNDS."
"526669","0","MANCHESTER TALMUDICAL COLLEGE AND THEOLOGICAL SEMINARY","MANCHESTER TALMUDICAL COLLEGE, SAUL ROSENBERG HOUSE, 1-7 SEYMOUR ROAD, MANCHESTER","M8 5BQ","Blackley and Middleton South","01617400214","","","31/12/2024","625567","629164","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Elderly/old People, People Of A Particular Ethnic Or Racial Origin","To pursue the objects of the charity with all resources available to the charity.","THE STUDY OF SUBJECTS APPERTAINING TO HIGHER JEWISH RELIGIOUS EDUCATION;
THE TRAINING OF STUDENTS FOR GRADUATION IN RABBINICS, SHECHITA AND TEACHING;
THE ADMINISTRATION OF THE SYNAGOGUE;
THE MAINTENANCE OF NEEDY STUDENTS."
"528255","0","LILLEY AND STONE SCHOOL CHARITY","TALLENTS, 3 MIDDLE GATE, NEWARK","NG24 1AQ","Newark","01636671881","Malcolm.Ellison@tallents.co.uk","","31/03/2024","500060","353161","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","Education/training","Children/young People","Awarding prizes, exhibitions and financial assistance to pupils of the school or former pupils under the age of 25 and providing special benefits to the school not normally provided by the local education authority.","(1)	TO ADVANCE THE EDUCATION OF PUPILS AT SCHOOLS SITUATED IN NEWARK AND BALDERTON BY PROVIDING AND ASSISTING IN THE PROVISION OF FACILITIES NOT REQUIRED TO BE PROVIDED BY THE LOCAL EDUCATION AUTHORITY;

(2)	FOR THE PUBLIC BENEFIT TO PROMOTE THE EDUCATION (INCLUDING SOCIAL AND PHYSICAL TRAINING) OF PEOPLE UNDER THE AGE OF 25 YEARS WHO ARE ATTENDING OR HAVE ATTENDED SCHOOLS IN NEWARK AND BALDERTON IN SUCH WAYS AS THE TRUSTEES THINK FIT, INCLUDING BY:
(A)	AWARDING TO SUCH PERSONS SCHOLARSHIPS, MAINTENANCE ALLOWANCES OR GRANTS TENABLE AT ANY UNIVERSITY, COLLEGE OR INSTITUTION OF HIGHER OR FURTHER EDUCATION TO THOSE IN NEED OF FINANCIAL ASSISTANCE.
(B)	AWARDING TO SUCH PERSONS PRIZES IN RECOGNITION OF THEIR ACADEMIC, ARTISTIC, CREATIVE, MORAL OR PHYSICAL ACHIEVEMENTS. 
(C)	PROVIDING THEIR EDUCATION (INCLUDING THE STUDY OF MUSIC OR OTHER ARTS), TO UNDERTAKE TRAVEL IN FURTHERANCE OF THAT EDUCATION OR TO PREPARE FOR ENTRY TO ANY OCCUPATION, TRADE OR PROFESSION ON LEAVING ANY EDUCATIONAL ESTABLISHMENT.
(D)	ASSISTING IN SUCH WAYS AS THE CHARITY TRUSTEES THINK FIT ANY CHARITY WHOSE AIMS INCLUDE ADVANCING EDUCATION OF PERSONS UNDER THE AGE OF 25 YEARS IN NEWARK AND BALDERTON BY DEVELOPING THEIR MENTAL, PHYSICAL AND MORAL CAPABILITIES THROUGH LEISURE TIME ACTIVITIES.”"
"528769","0","THE GRAMMAR SCHOOL OF KING EDWARD VI AT STRATFORD-UPON-AVON","King Edward VI Grammar School, Church Street, STRATFORD-UPON-AVON, Warwickshire","CV37 6HB","Stratford-on-Avon","01789 868262","la@kes.net","","31/03/2024","798328","739400","Registered","Other","Makes Grants To Organisations, Provides Buildings/facilities/open Space","Education/training","Children/young People","Provision of items, services and facilities to the Grammar School of King Edward VI in Stratford upon Avon.","THE PROVISION OF ITEMS, SERVICES AND FACILITIES FOR THE SCHOOL"
"800015","0","THE CHAMPNISS FOUNDATION","26 Park Road, Bushey, Herts","WD23 3EQ","Hertsmere","02089501782","","","05/04/2024","989259","198966","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, Education/training","Children/young People","The purpose of the charity is to work for the advancement of education among pupils attending school, college or other educational establishment by awarding scholarships. Also for the benefit or furtherance of such charitable institution or charitable purposes in such manner and (if more than one) in such shares as the Trustees shall in their absolute discretion from time to time determine.","1. FOR THE BENEFIT OR FURTHERANCE OF SUCH CHARITABLE INSTITUTIONS OR CHARITABLE PURPOSES. 2. TO OR TOWARDS OR FOR THE ADVANCEMENT OF EDUCATION AMONG PUPILS ATTENDING A SCHOOL COLLEGE OR OTHER EDUCATIONAL ESTABLISHMENT BY AWARDING SCHOLARSHIPS TO BE KNOWN AS CHAMPNESS FOUNDATION SCHOLARSHIPS TO SUCH ONE OR MORE OF THEM WHO ARE UNDER THE AGE OF TWENTY-FIVE YEARS AT SUCH TIME AND IN SUCH MANNER AS THE TRUSTEES SHALL IN THEIR ABSOLUTE DISCRETION DETERMINE."
"800262","0","Family Holiday Charity","Family Holiday Charity, Unit A, Arc House, 82 Tanner Street, LONDON","SE1 3GN","Bermondsey and Old Southwark","02031170650","hello@familyholidaycharity.org.uk","www.familyholidaycharity.org.uk","31/12/2024","940411","1260925","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Sponsors Or Undertakes Research","The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","Provision of holidays for disadvantaged families.","“The objects of the Charity are to promote and provide access to holidays and day trips for families or members of families which or who have need of such holidays or day trips for rest and recreation by reason of their youth, age, ill-health, disability, financial hardship or other disadvantage.”"
"801682","0","THE WILL CHARITABLE TRUST","Haysmacintyre, Thames Exchange, 10 Queen Street Place, LONDON","EC4R 1AG","Cities of London and Westminster","02079695500","admin@willcharitabletrust.org.uk","willcharitabletrust.org.uk","05/04/2024","548714","1530327","Registered","Trust","Makes Grants To Organisations","The Advancement Of Health Or Saving Of Lives, Disability","People With Disabilities, Other Charities Or Voluntary Bodies","Care of and services for people suffering from cancer, and their families.
Care of and services for blind people, and the prevention and cure of blindness; and
Care of people with a learning disability in a way that provides lifelong commitment, a family environment andthe maximum choice of activities and lifestyle.","TO SUCH CHARITABLE INSTITUTIONS OR CHARITABLE PURPOSES IN SUCH MANNER AND (IF MORE THAN ONE) IN SUCH SHARES OR PROPORTIONS AS THE TRUSTEES SHALL IN THEIR ABSOLUTE DISCRETION FROM TIME TO TIME DETERMINE."
"801756","0","BILL BROWN'S CHARITABLE SETTLEMENT OF 1989","APPEALS BY EMAIL ONLY, 10 New Square, Lincolns Inn, London","WC2A 3QG","Holborn and St Pancras","02074654300","billbrowncharity@phb.co.uk","www.billbrowncharity.org","30/06/2024","533151","586218","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives","Children/young People, Elderly/old People","The trustees operate a grant giving policy, providing funds for such charitable object or instituion as the trustees think fit.","FOR EXCLUSIVELY CHARITABLE OBJECTS AND PURPOSES AS THE TRUSTEES THINK FIT."
"802243","0","GREEK ANIMAL RESCUE (UK )","PO Box 336, Little Glemham, WOODBRIDGE","IP13 0WR","Central Suffolk and North Ipswich","07584627214","info@greekanimalrescue.com","www.greekanimalrescue.com","30/11/2023","982111","544847","Registered","Trust","Makes Grants To Organisations, Acts As An Umbrella Or Resource Body","Animals","Other Charities Or Voluntary Bodies","Animals","(I) THE RELIEF OF SUFFERING OF ANIMALS IN GREECE IN NEED OF CARE AND ATTENTION BY THE PROVISION OF FUNDS, MATERIALS AND EQUIPMENT FOR THE CARE, ACCOMMODATION AND TREATMENT OF SUCH ANIMALS. (II) THE PREVENTION OF CRUELTY TO ALL ANIMALS IN GREECE. (III) THE ADVANCEMENT OF PUBLIC EDUCATION IN ALL ASPECTS OF CARE AND PROTECTION OF ANIMALS."
"802541","0","SOUTH FARNHAM SCHOOL TRUST","South Farnham School, Menin Way, Farnham","GU9 8DY","Farnham and Bordon","01252716155","info.southfarnham@sfet.org.uk","","31/12/2023","515168","233937","Registered","Other","Makes Grants To Organisations","Education/training","Children/young People","Fundraising to enable the trust to provide or assist in the provision of equipment and facilities for South Farnham School.","TO PROVIDE OR ASSIST IN THE PROVISION OF EQUIPMENT AND FACILITIES FOR THE USE AND BENEFIT OF SOUTH FARNHAM SCHOOL IN AUGMENTATION OF SUCH FACILITIES THAT ARE STATUTORILY PROVIDED."
"802717","0","ELLIS CAMPBELL FOUNDATION","The Ellis Campbell Foundation, Shalden Park Steading, Shalden, Alton, Hampshire","GU34 4DS","East Hampshire","01256381821","laura@elliscampbell.co.uk","http://www.elliscampbellfoundation.org/","31/12/2023","525296","563054","Registered","Trust","Makes Grants To Organisations","Education/training, Economic/community Development/employment","Children/young People","Following an 8 month strategic review the foundation is now supporting projects that build youth power and leadership systemically through youth led, power based learning and development opportunities for both young people and power holders. We are particularly focussed on minoritised and marginalised young people based outside of Greater London.","FOR OR TOWARDS SUCH CHARITABLE PURPOSES AND TO MAKE DONATIONS TO SUCH CHARITABLE INSTITUTION OR INSTITUTIONS AT SUCH TIME OR TIMES AND IN SUCH MANNER AS THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION THINK FIT. FOR FULL DETAILS SEE CLAUSE 3 OF TRUST DEED."
"802749","0","THE 1989 WILLAN CHARITABLE TRUST","Community Foundation, Philanthropy House, Woodbine Road, Gosforth, NEWCASTLE UPON TYNE","NE3 1DD","Newcastle upon Tyne North","01912220945","","","30/09/2024","500920","950999","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes","The General Public/mankind","makes grants to charitable causes, typically those within Tyne and Wear and its immediate surrounds which aim to ease social deprivation and / or enrich the fabric of the local community and / or the quality of life of individuals within that community","FOR SUCH CHARITABLE INSTITUTIONS OR CHARITABLE PURPOSES AS THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION THINK FIT. FOR FULL DETAILS, SEE SETTLEMENT."
"802801","0","Church Homeless Charity","Church Homeless Charity, Queen Mary's Hostel, 28 Greencoat Place, London","","","07801856830","info@churchhomelesscharity.org.uk","www.churchhomelesscharity.org.uk","31/03/2024","621120","560625","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Advocacy/advice/information","Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","To raise funds to benefit homeless people and those in housing need and in particular, those cared for by Riverside Care and Support (formerly English Churches Housing Group)","THE CHARITY'S OBJECTS ('OBJECTS') ARE TO PROMOTE SOCIAL INCLUSION AND SUPPORT OF THE HOMELESS FOR THE PUBLIC BENEFIT BY RELIEVING THE NEEDS OF THOSE PEOPLE WHO ARE OR HAVE BEEN HOMELESS OR SOCIALLY EXCLUDED AND ASSISTING THEM TO INTEGRATE INTO SOCIETY INCLUDING BY MEANS OF: 

 (1) PROVIDING FUNDING TO SUPPORT SUCH PEOPLE WHO NEED HELP TO ESTABLISH A HOME AND REINTEGRATE INTO SOCIETY, AND SUCH PEOPLE WHO NEED ONGOING HELP DUE TO DISABILITY AND/OR ILLNESS; 

 (2) FUNDING SUPPORT FOR SUCH INDIVIDUALS WHICH IS NOT PROVIDED BY STATUTORY SERVICES OR GOVERNMENT FUNDING; 

 (3) FUNDING SUPPORT FOR SUCH INDIVIDUALS IN NEED BY WORKING WITH SERVICE PROVIDERS WITH CHARITABLE PURPOSE, IN PARTICULAR RIVERSIDE CARE AND SUPPORT IN THE FIRST INSTANCE, AND OTHER SERVICE PROVIDERS WITH CHARITABLE OBJECTS SIMILAR TO THOSE OF THE CHARITY; AND 

 (4) CHALLENGING, ENCOURAGING AND ENABLING THE CHURCH OF ENGLAND, AND THE WIDER CHRISTIAN COMMUNITY, TO CONTINUE THE CHRISTIAN TRADITION OF HELPING HOMELESS AND SOCIALLY EXCLUDED PEOPLE.

FOR THE PURPOSES OF THIS CLAUSE, 'SOCIALLY EXCLUDED' MEANS EXCLUDED FROM SOCIETY, OR PARTS OF SOCIETY, AS A RESULT OF ONE OF MORE OF THE FOLLOWING FACTORS: UNEMPLOYMENT; FINANCIAL HARDSHIP; YOUTH OR OLD AGE; ILL HEALTH (PHYSICAL OR MENTAL); SUBSTANCE ABUSE OR DEPENDENCY INCLUDING ALCOHOL AND DRUGS; DISCRIMINATION ON THE GROUNDS OF SEX, RACE, DISABILITY, ETHNIC ORIGIN, RELIGION, BELIEF, CREED, SEXUAL ORIENTATION OR GENDER REASSIGNMENT; POOR EDUCATIONAL OR SKILLS ATTAINMENT; RELATIONSHIP OR FAMILY BREAKDOWN; POOR HOUSING (THAT IS HOUSING THAT DOES NOT MEET BASIC HABITABLE STANDARDS; CRIME (EITHER AS A VICTIM OF CRIME OR AS AN OFFENDER REHABILITATING INTO SOCIETY)."
"803129","0","FRIENDS OF BEIS YISROEL TRUST","COHEN ARNOLD, NEW BURLINGTON HOUSE, 1075 FINCHLEY ROAD, LONDON","NW11 0PU","Finchley and Golders Green","02087310777","","","31/12/2023","805260","589497","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People","The objects of the charity are the advancement of religion and the relief of poverty and sickness and will remain unchange in future years.","TRUST FOR GENERAL CHARIABLE PURPOSES INCLUDING THE RELIEF OF POVERTY AND THE ADVANCEMENT OF RELIGION AND RELIGIOUS EDUCATION AND IN PARTICULAR TO ASSIST IN THE BEIS YISROEL YESHIVA TALMUDICAL COLLEGE OF JERUSALEM."
"803299","0","THE ICTHIUS CHARITABLE TRUST","1 KING'S ARMS YARD, LONDON","EC2R 7AF","Cities of London and Westminster","02076016200","","","05/04/2024","546180","192319","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes","Other Charities Or Voluntary Bodies","GENERAL CHARITABLE PURPOSES AT THE TRUSTEES' DISCRETION: NO UNSOLICITED APPLICATIONS CONSIDERED","TO SUCH CHARITABLE FOUNDATIONS AND FOR SUCH CHARITABLE PURPOSES AS THE TRUSTEES SHALL FROM TIME TO TIME IN THEIR ABSOLUTE DISCRETION DETERMINE"
"803548","0","FRIENDS OF ACHIEZER ARAD","70 LINGWOOD ROAD, LONDON","E5 9BN","Hackney North and Stoke Newington","02082117958","","","05/04/2024","889225","397101","Registered","Other","Makes Grants To Organisations, Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Pay or apply the whole of the income and the capital of the Trust Fund to or towards or in furtherance or for the benefit of such one or more charities, charitable institutions or charitable purposes in any part of the world in such shares and in such manner as the Trustees in their absolute discretion may from time to time determine and in particular for the relief of poverty.","FOR THE BENEFIT OF SUCH ONE OR MORE CHARITIES CHARITABLE INSTITUTIONS OR CHARITABLE PURPOSES IN ANY PART OF THE WORLD IN SUCH SHARES AND IN SUCH MANNER AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION MAY FROM TIME TO TIME DETERMINE AND IN PARTICULAR FOR THE RELIEF OF POVERTY"
"803575","0","WORLDSHARE","Worldshare, Armstrong House, First Avenue, Doncaster Finningley Airport, Doncaster","DN9 3GA","Doncaster East and the Isle of Axholme","01302775209","info@worldshare.org.uk","http://www.worldshare.org.uk","31/12/2024","522480","503309","Registered","Charitable company","Makes Grants To Organisations, Provides Human Resources, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","In the world's neediest places, WorldShare partners with local Christians in their vision to bring about social and spiritual transformation to their communities.  With a focus on evangelism, WorldShare funds and supports the provision of education, healthcare, building communities, tackling justice and disaster relief.","TO ADVANCE THE CHRISTIAN FAITH. (FOR FURTHER DETAILS SEE CLAUSE 3 OF MEMORANDUM OF ASSOCIATION)."
"803655","0","SANTANDER UK FOUNDATION LIMITED","Santander Uk Plc, Unity Place, 200 Grafton Gate, MILTON KEYNES","MK9 1UP","Milton Keynes Central","07922577773","grants@santander.co.uk","www.santanderfoundation.org.uk","31/12/2023","500349","3531599","Registered","Charitable company","Makes Grants To Organisations","General Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","Grantmaking to UK charities working within the published charitable priorities of the Santander Foundation.","TO SUPPORT SUCH CHARITABLE INSTITUTION OR INSTITUTIONS, ""NOT FOR PROFIT ORGANISATIONS"" AND COMMUNITY INTEREST COMPANIES AS THE TRUSTEES SHALL IN THEIR ABSOLUTE DISCRETION DETERMINE CONCERNED WITH THE PRESERVATION AND PROTECTION OF GOOD HEALTH, THE RELIEF OF POVERTY, DISTRESS AND SICKNESS, THE ADVANCEMENT OF PUBLIC EDUCATION, THE RELIEF OF SUFFERING OF ANIMALS AND THE PRESERVATION AND PROTECTION OF THE ENVIRONMENT PROVIDED THAT ANY SUCH SUPPORT SHALL BE CONDITIONED UPON IT BE APPLIED SOLELY FOR CHARITABLE PURPOSES."
"1000153","0","THE HIMALAYAN TRUST UK","62 Riversdale road, London","N5 2JZ","Islington North","07740 923078","kate.wolstenholme@pwc.com","www.himalayantrust.co.uk","31/12/2023","549290","253455","Registered","Trust","Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Environment/conservation/heritage","Children/young People, People With Disabilities","Relief of poverty and sickness in NepalProtection of the environment ,particularly the National Parks in Nepal","A) THE RELIEF OF POVERTY AND SICKNESS OF PERSONS IN NEPAL B) THE PROTECTION  AND PRESERVATION OF THE ENVIRONMENT IN PARTICULAR IN THE NATIONAL PARKS IN NEPAL AND THEIR ENVIRONS FOR THE PUBLIC BENEFIT"
"1002267","0","SCOTT (EREDINE) CHARITABLE TRUST","WISES FARM HOUSE, AMPNEY ST. MARY, CIRENCESTER","GL7 5SN","South Cotswolds","01284851244","","","31/12/2024","618122","593930","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, Armed Forces/emergency Service Efficiency","People With Disabilities, Other Defined Groups","The trust exists for such charitable objects as directed by the settlor or as the trustees shall from time to time determine","SUCH CHARITABLE OBJECTS AS THE TRUSTEES SHALL DETERMINE"
"1003102","0","THE GEVURATH ARI TORAH ACADEMY TRUST","18 WOODLANDS CLOSE, LONDON","NW11 9QP","Finchley and Golders Green","02088062666","B5377018@neto.bezeqint.net","","31/03/2023","597025","1181618","Registered","Trust","Makes Grants To Organisations","Education/training, Religious Activities","People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Raising money for the Gevurath Ari Torah Academy Trust in Israel","TO ADVANCE EDUCATION IN AND THE RELIGION OF THE ORTHODOX JEWISH FAITH."
"1004043","0","THE ELMLEY FOUNDATION","West Aish, Morchard Bishop, CREDITON, Devon","EX17 6RX","Central Devon","01363877433","foundation@elmley.org.uk","www.elmley.org.uk","05/04/2024","503017","427809","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Advocacy/advice/information","Arts/culture/heritage/science","Other Defined Groups","Grantmaking to the arts in Herefordshire and Worcestershire and related cultural development","THE ADVANCEMENT OF EDUCATION BY PROMOTING THE APPRECIATION, KNOWLEDGE AND STUDY OF THE ARTS AND OF ARTISTIC ACHIEVEMENT IN ALL THEIR FORMS IN HEREFORD AND WORCESTER  (FOR FURTHER DETAILS SEE CLAUSE 3 OF MEMORANDUM AND ARTICLES OF ASSOCIATION)"
"1004185","0","THOMAS HOWELL'S TRUST","THE DRAPERS COMPANY, DRAPERS HALL, THROGMORTON AVENUE, LONDON","EC2N 2DQ","Cities of London and Westminster","02075885001","charities@thedrapers.co.uk","www.thedrapers.co.uk","31/07/2024","636139","635639","Registered","Other","Makes Grants To Organisations","Education/training","Children/young People, Other Charities Or Voluntary Bodies","The advancement of education through the distribution of the net income of the Trust to Howell's School, Llandaff in South Wales for the maintenance of the girls' school, and the provision of more general educational support for young people throughout North Wales via Thomas Howell's Education Fund for North Wales.","FORMER PUPILS OF HOWELL'S SCHOOL DENBIGH, WHO HAVE NOT ATTAINED THE AGE OF    25 YEARS, ARE IN NEED OF FINANCIAL ASSISTANCE,OUTFITS, CLOTHING,TOOLS,        INSTRUMENTS OR BOOKS OR BY OTHER SUCH MEANS AS WILL FIT THEM TO EARN THEIR OWN  LIVING OR ADVANCE THEM IN LIFE. PROVIDED THAT IN APPLYING SUCH FUND PREFERENCE WILL BE GIVEN TO ORPHANS."
"1005505","0","THE PATRICK & HELENA FROST FOUNDATION","THE PATRICK & HELENA FROST, FOUNDATION, C/O TROWERS & HAMLINS LLP, 3 BUNHILL ROW, LONDON","EC1Y 8YZ","Islington South and Finsbury","020 7423 8303","asorrell@trowers.com","","05/04/2024","530527","770977","Registered","Other","Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Animals, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","Making grants to charitable organisations, including smaller organisations where a considerable amount of self help and voluntary effort is required. The Trustees of the Foundation proactively seek and select organisations to which they wish to award grants. The Trustees kindly request that unsolicited applications are not submitted as, regretfully, they will not be considered or responded to.","FOR THE BENEFIT OF SUCH CHARITABLE INSTITUTION OR INSTITUTIONS OR CHARITABLE ORGANISATION OR ORGANISATIONS OR FOR SUCH CHARITABLE PURPOSE OR PURPOSES IN SUCH SHARES AND PROPORTIONS BETWEEN THEM IF MORE THAN ONE AND IN SUCH MANNER AS THE TRUSTEES(AFTER CONSULTATION IF POSSIBLE WITH THE SETTLOR DURING THE SETTLOR'S LIFETIME) SHALL FROM TIME TO TIME THINK FIT."
"1005809","0","THE FRIENDS OF YESHIVAS BRISK","33 ST. ANDREW'S GROVE, LONDON","N16 5NF","Hackney North and Stoke Newington","02073283272","sfeldman9@gmail.com","","31/10/2024","948614","978517","Registered","Trust","Makes Grants To Organisations","Education/training, The Prevention Or Relief Of Poverty, Religious Activities","Other Charities Or Voluntary Bodies, Other Defined Groups","Advancing Orthodox Jewish religious education and, principally, by assisting the Yeshivas Brisk advanced Tulmudical College in Jerusalem, Israel.","TO ADVANCE EDUCATION IN AND THE RELIGION OF THE ORTHODOX JEWISH FAITH AND IN FURTHERANCE THEREOF TO SUPPORT FINANCIALLY OR OTHERWISE THE CHARITABLE WORK OF THE YESHIVAS BRISK."
